id,word,defTh,defEn,type,ipa_us,ipa_uk,cefr,example,audioTh,audioEn,audio_example,image
2894,natural,"ธรรมชาติ, โดยธรรมชาติ",existing in nature; not made or caused by humans,adjective,/ˈnætʃrəl/,/ˈnætʃrəl/,A1,"the natural world (= of trees, rivers, animals and birds)",,,,2894_a1_natural.jpg
2895,naturally,"โดยธรรมชาติ, อย่างเป็นธรรมชาติ",in a way that you would expect,adverb,/ˈnætʃrəli/,/ˈnætʃrəli/,B1,"Naturally, I get upset when things go wrong.",,,,
2896,nature,"ธรรมชาติ, สภาพ","all the plants, animals and things that exist in the universe that are not made by people",noun,/ˈneɪtʃər/,/ˈneɪtʃə(r)/,A2,Take time to appreciate the beauties of nature.,,,,2896_a2_nature.jpg
2897,naval,"เกี่ยวกับทหารเรือ, ทางเรือ",connected with the navy of a country,adjective,/ˈneɪvl/,/ˈneɪvl/,C1,a naval base/officer/battle,,,,2897_c1_naval.jpg
2898,navigation,การนำทาง,the skill or the process of planning a route for a ship or other vehicle and taking it there,noun,/ˌnævɪˈɡeɪʃn/,/ˌnævɪˈɡeɪʃn/,B2,a maker of in-car navigation systems,,,,
2899,near,"ใกล้, เกือบ",a short distance away,adjective,/nɪr/,/nɪə(r)/,A1,His house is very near.,,,,
2900,nearby,"ที่อยู่ใกล้, ในบริเวณใกล้เคียง",near in position; not far away,adjective,/ˌnɪrˈbaɪ/,/ˌnɪəˈbaɪ/,B2,Her mother lived in a nearby town.,,,,
2901,nearly,แทบจะ,almost; not quite; not completely,adverb,/ˈnɪrli/,/ˈnɪəli/,A2,The bottle's nearly empty.,,,,
2902,neat,"เรียบร้อย, สะอาด",tidy and in order; carefully done or arranged,adjective,/niːt/,/niːt/,B2,She kept her desk extremely neat.,,,,
2903,necessarily,อย่างจำเป็น,used to say that something cannot be avoided,adverb,/ˌnesəˈserəli/,/ˌnesəˈserəli/,B1,The number of places available is necessarily limited.,,,,
2904,necessary,ที่จำเป็น,that is needed for a purpose or a reason,adjective,/ˈnesəseri/,/ˈnesəsəri/,A2,"necessary to do something, It may be necessary to buy a new one.",,,,2904_a2_necessary.jpg
2905,necessity,ความจำเป็น,the fact that something must happen or be done; the need for something,noun,/nəˈsesəti/,/nəˈsesəti/,B2,"necessity for something, We recognize the necessity for a written agreement.",,,,2905_b2_necessity.jpg
2906,neck,"คอ, ต้นคอ",the part of the body between the head and the shoulders,noun,/nek/,/nek/,A2,He tied a scarf around his neck.,,,,2906_a2_neck.jpg
2907,need,"ต้องการ, จำเป็น",a situation when something is necessary or must be done,noun,/niːd/,/niːd/,A2,to satisfy/meet/fulfil a need,,,,
2908,needle,"เข็ม, แทง","a small thin piece of steel that you use for sewing, with a point at one end and a hole for the thread at the other",noun,/ˈniːdl/,/ˈniːdl/,B1,a needle and thread,,,,2908_b1_needle.jpg
2909,negative,"เชิงลบ, ปฏิเสธ",bad or harmful,adjective,/ˈneɡətɪv/,/ˈneɡətɪv/,A1,The crisis had a negative effect on trade.,,,,2909_a1_negative.jpg
2910,neglect,ละเลย,the fact of not giving enough care or attention to something/somebody; the state of not receiving enough care or attention,noun,/nɪˈɡlekt/,/nɪˈɡlekt/,C1,The buildings are crumbling from years of neglect.,,,,2910_c1_neglect.jpg
2911,negotiate,ต่อรอง,to try to reach an agreement by formal discussion,verb,/nɪˈɡəʊʃieɪt/,/nɪˈɡəʊʃieɪt/,B2,"negotiate (with somebody) (for something), The government will not negotiate with terrorists.",,,,
2912,negotiation,การเจรจาต่อรอง,formal discussion between people who are trying to reach an agreement,noun,/nɪˌɡəʊʃiˈeɪʃn/,/nɪˌɡəʊʃiˈeɪʃn/,B2,peace/trade/contract negotiations,,,,
2913,neighbour,เพื่อนบ้าน,a person who lives next to you or near you,noun,/ˈneɪbər/,/ˈneɪbə(r)/,A1,We've had a lot of support from all our friends and neighbours.,,,,
2914,neighbourhood,ละแวกบ้าน,a district or an area of a town; the people who live there,noun,/ˈneɪbərhʊd/,/ˈneɪbəhʊd/,B1,We grew up in the same neighbourhood.,,,,
2915,neighbouring,"ที่อยู่ใกล้เคียง, ที่มีอาณาเขตติดต่อกัน",located or living near or next to a place or person,adjective,/ˈneɪbərɪŋ/,/ˈneɪbərɪŋ/,C1,a neighbouring house,,,,
2916,neither,ไม่ทั้งสอง,used to show that a negative statement is also true of somebody/something else,adverb,/ˈniːðər/,/ˈnaɪðə(r)/,B1,He didn't remember and neither did I.,,,,2916_b1_neither.jpg
2917,nerve,"เส้นประสาท, ความกล้า","any of the long fibres that carry messages between the brain and parts of the body, enabling you to move, feel pain, etc.",noun,/nɜːrv/,/nɜːv/,B2,the optic nerve,,,,
2918,nervous,"ประหม่า, กังวล",anxious about something or afraid of something,adjective,/ˈnɜːrvəs/,/ˈnɜːvəs/,A2,I felt really nervous before the interview.,,,,2918_a2_nervous.jpg
2919,nest,"รัง, ที่พักพิง",a hollow place or structure that a bird makes or chooses for laying its eggs in and sheltering its young,noun,/nest/,/nest/,C1,sparrows building a nest of twigs and dry grass,,,,
2920,net,"ตาข่าย, สุทธิ",a net amount of money is the amount that remains when nothing more is to be taken away,adjective,/net/,/net/,C1,a net profit of £500,,,,2920_c1_net.jpg
2921,network,เครือข่าย,"a complicated system of roads, lines, tubes, nerves, etc. that are connected to each other and operate together",noun,/ˈnetwɜːrk/,/ˈnetwɜːk/,A2,a rail/road/canal network,,,,2921_a2_network.jpg
2922,neutral,เป็นกลาง,"not supporting or helping either side in a disagreement, competition, etc.",adjective,/ˈnuːtrəl/,/ˈnjuːtrəl/,B2,Journalists are supposed to be politically neutral.,,,,2922_b2_neutral.jpg
2923,never,"ไม่เคย, ไม่",not at any time; not on any occasion,adverb,/ˈnevər/,/ˈnevə(r)/,A1,You never help me.,,,,2923_a1_never.jpg
2924,nevertheless,"อย่างไรก็ตาม, ถึงกระนั้น",despite something that you have just mentioned,adverb,/ˌnevərðəˈles/,/ˌnevəðəˈles/,B2,"There is little chance that we will succeed in changing the law. Nevertheless, it is important that we try.",,,,2924_b2_nevertheless.jpg
2925,new,"ใหม่, สด","not existing before; recently made, invented, introduced, etc.",adjective,/nuː/,/njuː/,A1,Have you read her new novel?,,,,
2926,newly,"อย่างเพิ่งเกิดขึ้น, ใหม่ๆ",recently,adverb,/ˈnuːli/,/ˈnjuːli/,B2,a newly qualified doctor,,,,
2927,news,ข่าว,new information about something that has happened recently,noun,/nuːz/,/njuːz/,A1,What's the latest news?,,,,
2928,newsletter,จดหมายข่าว,a report containing news of the activities of a club or organization that is sent regularly to all its members,noun,/ˈnuːzletər/,/ˈnjuːzletə(r)/,C1,Our sailing club produces a monthly newsletter.,,,,
2929,newspaper,หนังสือพิมพ์,"a set of large printed sheets of paper, or a website, containing news, articles, advertisements, etc. and published every day or every week; the organization responsible for producing this",noun,/ˈnuːzpeɪpər/,/ˈnjuːzpeɪpə(r)/,A1,a daily/weekly newspaper,,,,
2930,next,"ถัดไป, หน้า","coming straight after somebody/something in time, order or space",adjective,/nekst/,/nekst/,A1,The next train to Baltimore is at ten.,,,,
2931,next to,"ข้างๆ, ถัดไป",in or into a position right by somebody/something,preposition,/ˈnekst tə/,/ˈnekst tə/,A1,We sat next to each other.,,,,
2932,nice,"ดี, น่ารัก",pleasant or attractive,adjective,/naɪs/,/naɪs/,A1,a nice day/smile/place,,,,
2933,niche,ซอก,"a comfortable or suitable role, job, way of life, etc.",noun,/niːʃ/,/niːʃ/,C1,He eventually found his niche in sports journalism.,,,,
2934,night,"กลางคืน, ราตรี","the time between one day and the next when it is dark, when people usually sleep",noun,/naɪt/,/naɪt/,A1,"at night, These animals only come out at night.",,,,
2935,nightmare,ฝันร้าย,a dream that is very frightening or unpleasant,noun,/ˈnaɪtmer/,/ˈnaɪtmeə(r)/,B2,He still has nightmares about the accident.,,,,2935_b2_nightmare.jpg
2936,nine,เก้า,9,number,/naɪn/,/naɪn/,A1,There are only nine of these rare animals left.,,,,
2937,nineteen,สิบเก้า,,number,/ˌnaɪnˈtiːn/,/ˌnaɪnˈtiːn/,A1,,,,,
2938,ninety,เก้าสิบ,90,number,/ˈnaɪnti/,/ˈnaɪnti/,A1,The temperature must be in the nineties today.,,,,
2939,no,"ไม่, ไม่มี",not one; not any; not a,determiner,/nəʊ/,/nəʊ/,A1,No student is to leave the room.,,,,
2940,no one,ไม่มีใครเลย (เป็นทางการ),not anyone; no person,pronoun,/ˈnəʊ wʌn/,/ˈnəʊ wʌn/,A1,No one was at home.,,,,
2941,noble,มีเกียรติ,"having or showing fine personal qualities that people admire, such as courage, honesty and care for others",adjective,/ˈnəʊbl/,/ˈnəʊbl/,C1,a noble leader,,,,2941_c1_noble.jpg
2942,nobody,ไม่มีใครเลย (ทั่วไป),not anyone; no person,pronoun,/ˈnəʊbədi/,/ˈnəʊbədi/,A1,Nobody knew what to say.,,,,
2943,nod,พยักหน้า,"if you nod, nod your head or your head nods, you move your head up and down to show agreement, understanding, etc.",verb,/nɑːd/,/nɒd/,C1,I asked him if he would help me and he nodded.,,,,2943_c1_nod.jpg
2944,noise,"เสียงดัง, เสียงรบกวน","a sound, especially when it is loud, unpleasant or frightening",noun,/nɔɪz/,/nɔɪz/,A2,There was a rattling noise coming from the back of the car.,,,,2944_a2_noise.jpg
2945,noisy,"ดัง, อึกทึก",making a lot of noise,adjective,/ˈnɔɪzi/,/ˈnɔɪzi/,A2,noisy children/traffic/crowds,,,,
2946,nominate,เสนอชื่อ,"to formally suggest that somebody/something should be chosen for an important role, prize, position, etc.",verb,/ˈnɑːmɪneɪt/,/ˈnɒmɪneɪt/,C1,"nominate somebody/something (for something), She has been nominated for the presidency.",,,,
2947,nomination,การเสนอชื่อ,"the act of suggesting or choosing somebody as a candidate in an election, or for a job or an award; the fact of being suggested for this",noun,/ˌnɑːmɪˈneɪʃn/,/ˌnɒmɪˈneɪʃn/,C1,Membership of the club is by nomination only.,,,,
2948,nominee,ผู้ได้รับการเสนอชื่อ,"a person who has been formally suggested for a job, a prize, etc.",noun,/ˌnɑːmɪˈniː/,/ˌnɒmɪˈniː/,C1,He was chosen as the party's presidential nominee.,,,,
2949,non-profit,ไม่แสวงหาผลกำไร,without the aim of making a profit,adjective,/ˌnɑːn ˈprɑːfɪt/,/ˌnɒn ˈprɒfɪt/,C1,an independent non-profit organization,,,,
2950,none,"ไม่มี, ไม่เลย",not one of a group of people or things; not any,pronoun,/nʌn/,/nʌn/,A2,None of these pens works/work.,,,,2950_a2_none.jpg
2951,nonetheless,ถึงอย่างนั้น,despite this fact,adverb,/ˌnʌnðəˈles/,/ˌnʌnðəˈles/,C1,"The book is too long but, nonetheless, informative and entertaining.",,,,2951_c1_nonetheless.jpg
2952,nonsense,เรื่องไร้สาระ,"ideas, statements or beliefs that you think are silly or not true",noun,/ˈnɑːnsens/,/ˈnɒnsns/,C1,Reports that he has resigned are nonsense.,,,,2952_c1_nonsense.jpg
2953,noon,กลางวัน,12 o’clock in the middle of the day,noun,/nuːn/,/nuːn/,C1,We should be there by noon.,,,,
2954,nor,และไม่,and not,adverb,/nɔːr/,/nɔː(r)/,B1,She seemed neither surprised nor worried.,,,,2954_b1_nor.jpg
2955,norm,บรรทัดฐาน,a situation or a pattern of behaviour that is usual or expected,noun,/nɔːrm/,/nɔːm/,B2,The new design is a departure from the norm.,,,,2955_b2_norm.jpg
2956,normal,"เป็นปรกติ, ตามมาตรฐาน","typical, usual or ordinary; what you would expect",adjective,/ˈnɔːrml/,/ˈnɔːml/,A2,quite/perfectly (= completely) normal,,,,2956_a2_normal.jpg
2957,normally,"โดยปกติ, ตามปกติ",usually; in normal circumstances,adverb,/ˈnɔːrməli/,/ˈnɔːməli/,A2,I would never normally discuss this.,,,,
2958,north,ทิศเหนือ,in or towards the north,adjective,/nɔːrθ/,/nɔːθ/,A1,North London,,,,
2959,northern,ทางเหนือ,located in the north or facing north; connected with or typical of the north part of the world or a region,adjective,/ˈnɔːrðərn/,/ˈnɔːðən/,B1,the northern slopes of the mountains,,,,
2960,nose,จมูก,"the part of the face that sticks out above the mouth, used for breathing and smelling things",noun,/nəʊz/,/nəʊz/,A1,She had dark eyes and a long narrow nose.,,,,2960_a1_nose.jpg
2961,not,"ไม่, มิใช่","used with be, do or have to form the negative of verbs; used to form the negative of modal verbs like can or must",adverb,/nɑːt/,/nɒt/,A1,She did not/didn’t see him.,,,,
2962,notable,ที่น่าสังเกต,deserving to be noticed or to receive attention; important,adjective,/ˈnəʊtəbl/,/ˈnəʊtəbl/,C1,a notable success/achievement/example,,,,
2963,notably,สะดุดตา,used for giving a good or the most important example of something,adverb,/ˈnəʊtəbli/,/ˈnəʊtəbli/,C1,"The house had many drawbacks, most notably its price.",,,,
2964,note,"บันทึก, โน้ต",a short piece of writing to help you remember something,noun,/nəʊt/,/nəʊt/,A1,Please make a note of the dates.,,,,
2965,notebook,สมุดบันทึก,a small book of plain paper for writing notes in,noun,/ˈnəʊtbʊk/,/ˈnəʊtbʊk/,B2,The police officer wrote the details down in his notebook.,,,,
2966,nothing,ไม่มีอะไร,not anything; no single thing,pronoun,/ˈnʌθɪŋ/,/ˈnʌθɪŋ/,A1,There was nothing in her bag.,,,,
2967,notice,"สังเกต, แจ้ง","a sheet of paper giving written or printed information, usually put in a public place",noun,/ˈnəʊtɪs/,/ˈnəʊtɪs/,A2,There was a notice on the board saying the class had been cancelled.,,,,2967_a2_notice.jpg
2968,notify,แจ้ง,to formally or officially tell somebody about something,verb,/ˈnəʊtɪfaɪ/,/ˈnəʊtɪfaɪ/,C1,"notify somebody, Competition winners will be notified by post.",,,,2968_c1_notify.jpg
2969,notion,"ความคิดเห็น, ความเชื่อ","an idea, a belief or an understanding of something",noun,/ˈnəʊʃn/,/ˈnəʊʃn/,B2,"notion of something, a political system based on the notions of equality and liberty",,,,2969_b2_notion.jpg
2970,notorious,ฉาวโฉ่,well known for being bad,adjective,/nəʊˈtɔːriəs/,/nəʊˈtɔːriəs/,C1,a notorious criminal,,,,2970_c1_notorious.jpg
2971,novel,"นวนิยาย, แปลกใหม่","different from anything known before; new, interesting and often seeming slightly strange",adjective,/ˈnɑːvl/,/ˈnɒvl/,C1,a novel feature,,,,2971_c1_novel.jpg
2972,novelist,นักประพันธ์,a person who writes novels,noun,/ˈnɑːvəlɪst/,/ˈnɒvəlɪst/,B2,a romantic/historical novelist,,,,
2973,November,พฤศจิกายน,"the 11th month of the year, between October and December",noun,/nəʊˈvembər/,/nəʊˈvembə(r)/,A1,She was born in November.,,,,
2974,now,"ตอนนี้, เดี๋ยวนี้",(at) the present time,adverb,/naʊ/,/naʊ/,A1,Where are you living now?,,,,
2975,nowadays,ทุกวันนี้,"at the present time, in contrast with the past",adverb,/ˈnaʊədeɪz/,/ˈnaʊədeɪz/,B2,Nowadays most kids prefer going online to reading books.,,,,2975_b2_nowadays.jpg
2976,nowhere,ที่ไหนเลย,not in or to any place,adverb,/ˈnəʊwer/,/ˈnəʊweə(r)/,A2,"I had nowhere to live, so I was sleeping on my sister's couch.",,,,2976_a2_nowhere.jpg
2977,nuclear,"นิวเคลียร์, เกี่ยวกับนิวเคลียร์","using, producing or resulting from nuclear energy",adjective,/ˈnuːkliər/,/ˈnjuːkliə(r)/,B1,a nuclear power plant/station,,,,2977_b1_nuclear.jpg
2978,number,"จำนวน, ตัวเลข",a word or symbol that represents an amount or a quantity,noun,/ˈnʌmbər/,/ˈnʌmbə(r)/,A1,Think of a number and multiply it by two.,,,,
2979,numerous,มากมาย,existing in large numbers ,adjective,/ˈnuːmərəs/,/ˈnjuːmərəs/,B2,He has been late on numerous occasions.,,,,2979_b2_numerous.jpg
2980,nurse,"พยาบาล, ดูแล","a person whose job is to take care of sick or injured people, usually in a hospital",noun,/nɜːrs/,/nɜːs/,A1,a registered nurse,,,,2980_a1_nurse.jpg
2981,nursery,สถานรับเลี้ยงเด็ก,a place where young children are cared for while their parents are at work; a day nursery or nursery school,noun,/ˈnɜːrsəri/,/ˈnɜːsəri/,C1,"at nursery, Her youngest child is at nursery now.",,,,2981_c1_nursery.jpg
2982,nursing,การพยาบาล,the job or skill of caring for people who are sick or injured,noun,/ˈnɜːrsɪŋ/,/ˈnɜːsɪŋ/,B2,a career in nursing,,,,
2983,nut,"ถั่ว, บ้า",a small hard fruit with a very hard shell that grows on some trees,noun,/nʌt/,/nʌt/,A2,to crack a nut (= open it),,,,2983_a2_nut.jpg
2984,nutrition,โภชนาการ,the process by which living things receive the food necessary for them to grow and be healthy,noun,/nuˈtrɪʃn/,/njuˈtrɪʃn/,B2,advice on diet and nutrition,,,,2984_b2_nutrition.jpg
2985,o'clock,โมง,"used with the numbers 1 to 12 when telling the time, to mean an exact hour",adverb,/əˈklɑːk/,/əˈklɒk/,A1,He left between five and six o'clock.,,,,
2986,obesity,โรคอ้วน,"the quality or fact of being very fat, in a way that is not healthy",noun,/əʊˈbiːsəti/,/əʊˈbiːsəti/,B2,Obesity can increase the risk of heart disease.,,,,
2987,obey,"เชื่อฟัง, ทำตาม",to do what you are told or expected to do,verb,/əˈbeɪ/,/əˈbeɪ/,B2,"obey something, to obey a command/an order/rules/the law",,,,2987_b2_obey.jpg
2988,object,"วัตถุ, คัดค้าน","a thing that can be seen and touched, but is not alive",noun,/ˈɑːbdʒɪkt/,/ˈɒbdʒɪkt/,A1,everyday objects such as cups and saucers,,,,2988_a1_object.jpg
2989,objection,การคัดค้าน,a reason why you do not like or are opposed to something; a statement about this,noun,/əbˈdʒekʃn/,/əbˈdʒekʃn/,C1,"I'd like to come too, if you have no objection.",,,,
2990,objective,"วัตถุประสงค์, เป็นกลาง",not influenced by personal feelings or opinions; considering only facts,adjective,/əbˈdʒektɪv/,/əbˈdʒektɪv/,B2,an objective assessment of the situation,,,,2990_b2_objective.jpg
2991,obligation,ภาระผูกพัน,"the state of being forced to do something because it is your duty, or because of a law, etc.",noun,/ˌɑːblɪˈɡeɪʃn/,/ˌɒblɪˈɡeɪʃn/,B2,"obligation to do something, You are under no obligation to buy anything.",,,,
2992,oblige,"ผูกมัดด้วยหน้าที่, ทำให้มีภาระ","to force somebody to do something, by law, because it is a duty, etc.",verb,/əˈblaɪdʒ/,/əˈblaɪdʒ/,C1,Parents are obliged by law to send their children to school.,,,,2992_c1_oblige.jpg
2993,observation,การสังเกต,"the act of watching somebody/something carefully for a period of time, especially to learn something",noun,/ˌɑːbzərˈveɪʃn/,/ˌɒbzəˈveɪʃn/,B2,Most information was collected by direct observation of the animals' behaviour.,,,,
2994,observe,"สังเกต, เฝ้าดู",to see or notice somebody/something,verb,/əbˈzɜːrv/,/əbˈzɜːv/,B2,"observe somebody/something, Have you observed any changes lately?",,,,2994_b2_observe.jpg
2995,observer,ผู้สังเกตการณ์,a person who watches somebody/something,noun,/əbˈzɜːrvər/,/əbˈzɜːvə(r)/,B2,"According to observers, the plane exploded shortly after take-off.",,,,
2996,obsess,ครอบงำ,"to completely fill your mind so that you cannot think of anything else, in a way that is not reasonable or normal",verb,/əbˈses/,/əbˈses/,C1,"be obsessed by somebody/something, He's obsessed by computers.",,,,2996_c1_obsess.jpg
2997,obsession,ความหมกมุ่น,the state in which a person’s mind is completely filled with thoughts of one particular thing or person in a way that is not reasonable or normal,noun,/əbˈseʃn/,/əbˈseʃn/,C1,Her fear of flying is bordering on obsession.,,,,
2998,obstacle,อุปสรรค,"a situation, an event, etc. that makes it difficult for you to do or achieve something",noun,/ˈɑːbstəkl/,/ˈɒbstəkl/,B2,"So far, we have managed to overcome all the obstacles that have been placed in our path.",,,,2998_b2_obstacle.jpg
2999,obtain,"ได้รับ, ได้มา","to get something, especially by making an effort",verb,/əbˈteɪn/,/əbˈteɪn/,B2,to obtain information/data/results,,,,2999_b2_obtain.jpg
3000,obvious,"ชัดเจน, เห็นได้ชัด",easy to see or understand,adjective,/ˈɑːbviəs/,/ˈɒbviəs/,B1,I know you don't like her but try not to make it so obvious.,,,,3000_b1_obvious.jpg
3001,obviously,อย่างชัดแจ้ง,used when giving information that you expect other people to know already or agree with,adverb,/ˈɑːbviəsli/,/ˈɒbviəsli/,B1,"Obviously, we don't want to spend too much money.",,,,
3002,occasion,"โอกาส, เหตุการณ์",a particular time when something happens,noun,/əˈkeɪʒn/,/əˈkeɪʒn/,B1,"on an occasion, on this/that occasion",,,,
3003,occasional,เป็นครั้งคราว,happening or done sometimes but not often,adjective,/əˈkeɪʒənl/,/əˈkeɪʒənl/,C1,He works for us on an occasional basis.,,,,
3004,occasionally,"บางครั้ง, เป็นครั้งคราว",sometimes but not often,adverb,/əˈkeɪʒnəli/,/əˈkeɪʒnəli/,B2,We occasionally meet for a drink after work.,,,,
3005,occupation,อาชีพ,a job or profession,noun,/ˌɑːkjuˈpeɪʃn/,/ˌɒkjuˈpeɪʃn/,B2,"Please state your name, age and occupation below.",,,,3005_b2_occupation.jpg
3006,occupy,"ยึดครอง, อาศัย","to fill or use a space, an area or an amount of time",verb,/ˈɑːkjupaɪ/,/ˈɒkjupaɪ/,B2,The bed seemed to occupy most of the room.,,,,3006_b2_occupy.jpg
3007,occur,"เกิดขึ้น, ปรากฏ",to happen,verb,/əˈkɜːr/,/əˈkɜː(r)/,B1,When exactly did the incident occur?,,,,3007_b1_occur.jpg
3008,occurrence,การเกิดขึ้น,something that happens or exists,noun,/əˈkɜːrəns/,/əˈkʌrəns/,C1,a common/everyday/frequent/regular occurrence,,,,
3009,ocean,มหาสมุทร,the mass of salt water that covers most of the earth’s surface,noun,/ˈəʊʃn/,/ˈəʊʃn/,A2,The ship was dredged from the depths of the ocean.,,,,3009_a2_ocean.jpg
3010,October,ตุลาคม,"the 10th month of the year, between September and November",noun,/ɑːkˈtəʊbər/,/ɒkˈtəʊbə(r)/,A1,She was born in October.,,,,
3011,odd,"คี่, แปลก",strange or unusual,adjective,/ɑːd/,/ɒd/,B1,They're very odd people.,,,,3011_b1_odd.jpg
3012,odds,อัตราต่อรอง,the degree to which something is likely to happen,noun,/ɑːdz/,/ɒdz/,C1,The odds are very much in our favour (= we are likely to succeed).,,,,
3013,of,"ของ, แห่ง",belonging to somebody; relating to somebody,preposition,/əv/,/əv/,A1,a friend of mine,,,,
3014,off,"ปิด, ออก, จาก",used to say that something has been removed or become separated,adverb,/ɔːf/,/ɒf/,A1,He's had his beard shaved off.,,,,
3015,offence,การกระทำผิด,an illegal act ,noun,/əˈfens/,/əˈfens/,B2,a criminal/serious/minor/sexual offence,,,,
3016,offend,ทำให้ขุ่นเคือง,to make somebody feel upset because of something you say or do that is rude or embarrassing,verb,/əˈfend/,/əˈfend/,B2,They'll be offended if you don't go to their wedding.,,,,3016_b2_offend.jpg
3017,offender,ผู้กระทำความผิด,a person who commits a crime,noun,/əˈfendər/,/əˈfendə(r)/,B2,"a persistent/serious/violent, etc. offender",,,,
3018,offensive,ที่ก่อให้เกิดความขุ่นเคือง,rude in a way that causes somebody to feel upset or annoyed because it shows a lack of respect,adjective,/əˈfensɪv/,/əˈfensɪv/,B2,offensive remarks,,,,
3019,offer,"เสนอ, ข้อเสนอ",an act of saying that you are willing to do something for somebody or give something to somebody,noun,/ˈɔːfər/,/ˈɒfə(r)/,A2,to receive a job offer,,,,
3020,offering,การเสนอขาย,"something that is produced for other people to use, watch, enjoy, etc.",noun,/ˈɔːfərɪŋ/,/ˈɒfərɪŋ/,C1,the latest offering from the Canadian-born writer,,,,
3021,office,"สำนักงาน, ที่ทำงาน","a room, set of rooms or building where people work, usually sitting at desks",noun,/ˈɑːfɪs/,/ˈɒfɪs/,A1,The company is moving to new offices on the other side of town.,,,,
3022,officer,"เจ้าหน้าที่, นาย",a person who is in a position of authority in the armed forces,noun,/ˈɑːfɪsər/,/ˈɒfɪsə(r)/,A2,army/military/naval officers,,,,3022_a2_officer.jpg
3023,official,"ทางการ, เจ้าหน้าที่","agreed to, said, done, etc. by somebody who is in a position of authority",adjective,/əˈfɪʃl/,/əˈfɪʃl/,B1,an official announcement/decision/statement,,,,3023_b1_official.jpg
3024,offspring,ลูกหลาน,a child of a particular person or couple,noun,/ˈɔːfsprɪŋ/,/ˈɒfsprɪŋ/,C1,the problems parents have with their teenage offspring,,,,3024_c1_offspring.jpg
3025,often,"บ่อยๆ, หลายครั้ง",many times,adverb,/ˈɔːfn/,/ˈɒfn/,A1,We often go there.,,,,3025_a1_often.jpg
3026,oh,"โอ้, อ๋อ, เหรอ","used when you are reacting to something that has been said, especially if you did not know it before",exclamation,/əʊ/,/əʊ/,A1,"‘I saw Ben yesterday.’ ‘Oh yes, how is he?’",,,,
3027,oil,น้ำมัน,a thick liquid that is found in rock underground ,noun,/ɔɪl/,/ɔɪl/,A2,Several companies are drilling for oil in the region.,,,,3027_a2_oil.jpg
3028,OK,ตกลง,safe and well; in a calm or happy state,adjective,/əʊˈkeɪ/,/əʊˈkeɪ/,A1,Are you OK?,,,,
3029,old,"แก่, เก่า, โบราณ",of a particular age,adjective,/əʊld/,/əʊld/,A1,"be… years, months, etc. old, The baby was only a few hours old.",,,,3029_a1_old.jpg
3030,old-fashioned,ล้าสมัย,not modern; no longer fashionable,adjective,/ˌəʊld ˈfæʃnd/,/ˌəʊld ˈfæʃnd/,B1,old-fashioned clothes/styles/methods/equipment,,,,
3031,on,"บน, เกี่ยวกับ",on somebody’s body; being worn,adverb,/ɑːn/,/ɒn/,A1,Put your coat on.,,,,
3032,once,"ครั้งหนึ่ง, เมื่อก่อน",on one occasion only; one time,adverb,/wʌns/,/wʌns/,A1,I've only been there once.,,,,
3033,one,"หนึ่ง, อันเดียว",the number 1,determiner,/wʌn/,/wʌn/,A1,Do you want one or two?,,,,
3034,ongoing,ที่ดำเนินอยู่,continuing to exist or develop,adjective,/ˈɑːnɡəʊɪŋ/,/ˈɒnɡəʊɪŋ/,B2,an ongoing debate/discussion/process,,,,3034_b2_ongoing.jpg
3035,onion,หัวหอม,"a round vegetable with many layers inside each other and a brown, red or white skin. Onions have a strong smell and taste.",noun,/ˈʌnjən/,/ˈʌnjən/,A1,Chop the onions finely.,,,,3035_a1_onion.jpg
3036,online,"ออนไลน์, บนเครือข่าย",available on or done using the internet or other computer network,adjective,/ˌɑːnˈlaɪn/,/ˌɒnˈlaɪn/,A1,Online shopping is both cheap and convenient.,,,,
3037,only,"เท่านั้น, เพียงแต่",used to say that no other or others of the same group exist or are there,adjective,/ˈəʊnli/,/ˈəʊnli/,A1,She's their only daughter.,,,,
3038,onto,"บน, ไปบน",used with verbs to express movement on or to a particular place or position,preposition,/ˈɑːntə/,/ˈɒntə/,A2,Move the books onto the second shelf.,,,,
3039,open,"เปิด, อ้า, กว้าง",allowing things or people to go through; not closed or blocked ,adjective,/ˈəʊpən/,/ˈəʊpən/,A1,A wasp flew in the open window.,,,,3039_a1_open.jpg
3040,opening,"การเปิด, ช่อง",a space or hole that somebody/something can pass through,noun,/ˈəʊpənɪŋ/,/ˈəʊpənɪŋ/,B2,We could see the stars through an opening in the roof.,,,,
3041,openly,อย่างเปิดเผย,"without hiding any feelings, opinions or information",adverb,/ˈəʊpənli/,/ˈəʊpənli/,B2,Can you talk openly about sex with your parents?,,,,
3042,opera,โอเปร่า,a dramatic work in which all or most of the words are sung to music; works of this type as an art form or entertainment,noun,/ˈɑːprə/,/ˈɒprə/,B2,Puccini’s operas,,,,
3043,operate,"ดำเนินการ, ผ่าตัด",to work in a particular way,verb,/ˈɑːpəreɪt/,/ˈɒpəreɪt/,B2,Most domestic freezers operate at below −18°C.,,,,3043_b2_operate.jpg
3044,operation,"การผ่าตัด, ปฏิบัติการ",the process of cutting open a part of a person’s body in order to remove or repair a damaged part,noun,/ˌɑːpəˈreɪʃn/,/ˌɒpəˈreɪʃn/,B1,Will I need to have an operation?,,,,3044_b1_operation.jpg
